Payload_Avionics
ax,ay,az,gx,gy,gz,mpu_temp,bmp_temp,bmp_pres, bmp_alt
0.340,-0.062,11.171,-0.030,0.274,-0.122,23.730,22.500,100959.000,30.683
0.326,-0.120,11.205,-7.805,0.427,-0.305,24.577,22.500,100956.000,30.933
0.388,-0.201,11.128,-0.122,0.488,-7.805,24.483,22.500,100960.000,30.516
0.354,-0.062,11.085,-0.091,0.396,-0.061,24.577,22.500,100957.000,30.683
0.383,-0.077,11.162,-0.183,0.518,-0.366,24.577,22.500,100956.000,30.015
0.335,-0.081,11.123,-0.396,0.396,-0.061,24.577,22.500,100960.000,30.933
0.311,-0.043,11.114,-0.122,0.335,-0.061,24.483,22.500,100962.000,30.432
0.345,-0.120,11.238,-0.213,0.457,-0.183,24.577,22.500,100965.000,30.766
0.350,-0.153,11.066,7.713,0.457,-0.091,24.483,22.600,100962.000,30.432
0.330,-0.043,11.114,-0.061,0.366,-0.274,24.577,22.500,100962.000,30.265
0.378,-0.091,11.176,-0.152,0.549,-0.030,24.577,22.500,100957.000,30.432
0.373,-0.110,11.119,-0.183,0.518,-0.152,24.530,22.500,100953.000,30.766
0.316,-0.010,11.080,-7.805,0.518,-0.152,24.530,22.500,100962.000,30.683
0.393,-0.101,11.205,7.744,0.366,-0.122,24.624,22.500,100960.000,30.432
0.354,-0.105,11.080,-0.244,0.396,-0.183,24.624,22.600,100951.000,30.933
0.340,-0.096,11.138,-0.122,0.488,-0.122,24.530,22.500,100959.000,30.683
0.388,-0.086,11.152,-0.152,0.518,-0.061,24.483,22.500,100956.000,30.516
0.345,-0.091,11.200,-0.152,0.427,-0.091,24.624,22.500,100946.000,30.683
0.354,-0.034,11.133,-0.061,0.396,7.744,24.624,22.500,100960.000,30.182
0.354,-0.115,11.076,-0.183,0.518,-0.122,24.530,22.500,100959.000,30.766
0.373,-0.101,11.214,-0.152,0.396,-0.061,24.530,22.600,100956.000,31.434
0.364,-0.067,11.128,-0.152,0.183,-7.774,24.624,22.500,100960.000,30.432
0.306,-0.091,11.162,-0.152,0.488,-0.122,24.577,22.500,100959.000,31.852
0.378,-0.086,11.143,-0.274,0.427,-0.213,24.577,22.500,100951.000,31.017
0.316,-0.110,11.143,-0.244,0.518,-0.183,24.577,22.600,100945.000,31.017
0.345,-0.086,11.076,-0.152,0.427,-0.091,24.530,22.500,100948.000,30.766
0.393,-0.091,11.186,-0.213,0.305,-0.030,24.577,22.500,100956.000,31.184
0.335,-0.129,11.090,-0.152,0.427,0.000,24.624,22.500,100959.000,31.518
0.330,-0.086,11.076,-0.030,0.305,-0.213,24.577,22.500,100950.000,31.434
0.316,-0.153,11.229,-0.152,0.335,-0.091,24.624,22.600,100956.000,32.019
0.378,-0.062,11.095,-0.213,0.518,-0.213,24.671,22.600,100948.000,31.184
0.321,-0.139,11.162,-0.152,0.396,-0.061,24.483,22.500,100956.000,31.267
0.326,-0.105,11.109,-0.061,0.488,-0.152,24.530,22.500,100957.000,31.267
0.378,-0.120,11.157,-0.152,0.305,-7.805,24.624,22.500,100953.000,31.184
0.350,-0.134,11.109,-0.244,0.610,-0.122,24.577,22.500,100950.000,30.766
0.378,-0.086,11.234,-0.122,0.274,-0.152,24.483,22.500,100953.000,31.184
0.359,-0.057,11.109,-0.091,0.274,-0.061,24.483,22.500,100951.000,31.518
0.436,-0.077,11.171,-0.213,0.427,-0.244,24.577,22.500,100956.000,31.434
0.335,-0.081,11.152,-0.274,0.274,-7.744,24.483,22.500,100950.000,31.184
0.417,-0.101,11.186,-0.061,0.366,-0.061,24.530,22.500,100960.000,30.015
0.388,-0.091,11.090,-0.152,0.244,-0.122,24.718,22.600,100954.000,31.184
0.354,-0.110,11.104,-0.091,0.457,-0.091,24.577,22.600,100957.000,31.267
0.397,-0.129,11.143,-0.152,0.396,-0.152,24.577,22.600,100959.000,30.432
0.354,-0.057,11.128,-0.091,0.366,0.000,24.624,22.600,100957.000,30.432
0.316,-0.077,11.186,-0.183,0.305,-0.091,24.577,22.500,100954.000,30.933
0.369,-0.086,11.143,-0.152,0.335,-0.335,24.577,22.600,100957.000,30.933
0.402,-0.096,11.133,7.622,0.457,-0.091,24.577,22.500,100954.000,30.182
0.393,-0.105,11.171,-0.030,0.488,-0.061,24.718,22.600,100960.000,30.432
0.326,-0.086,11.138,-0.122,0.488,-0.183,24.624,22.500,100959.000,30.432
0.354,-0.043,11.143,-7.744,0.427,-0.183,24.624,22.500,100962.000,30.265
0.330,-0.091,11.162,-0.061,0.427,-0.061,24.624,22.500,100948.000,31.768
0.364,-0.124,11.133,-7.744,0.427,-0.091,24.577,22.600,100953.000,29.931
0.369,-0.096,11.147,-0.152,0.305,-7.805,24.624,22.500,100954.000,31.184
0.378,-0.110,11.162,0.030,0.549,0.091,24.530,22.500,100953.000,30.766
0.302,-0.120,11.133,-0.152,0.335,-0.030,24.530,22.500,100959.000,31.017
0.326,-0.062,11.056,-0.152,0.488,7.713,24.624,22.600,100957.000,30.933
0.364,-0.086,11.147,-0.183,0.335,-0.152,24.624,22.600,100959.000,30.683
0.321,-0.110,11.157,-0.122,0.518,-0.366,24.671,22.600,100959.000,30.766
0.369,-0.120,11.090,-0.030,0.396,0.000,24.530,22.500,100962.000,30.265
0.383,-0.091,11.181,7.683,0.396,-0.213,24.624,22.600,100954.000,30.683
0.359,-0.134,11.195,0.030,0.457,-0.274,24.530,22.600,100950.000,30.516
0.302,-0.081,11.157,-0.183,0.488,-0.122,24.483,22.500,100960.000,30.182
0.388,-0.038,11.104,7.774,0.335,-0.183,24.530,22.500,100959.000,30.516
0.373,-0.153,11.090,-0.244,0.305,-0.183,24.577,22.500,100954.000,30.933
0.426,-0.124,11.162,-0.183,0.518,-0.274,24.577,22.500,100951.000,31.017
0.354,-0.010,11.123,-0.213,0.457,7.683,24.624,22.600,100951.000,30.766
0.350,-0.120,11.152,-0.122,0.457,-7.744,24.577,22.500,100956.000,30.015
0.321,-0.182,11.143,-0.152,0.427,-0.244,24.624,22.500,100956.000,30.432
0.326,-0.072,11.123,-0.152,0.457,-0.030,24.483,22.600,100956.000,29.764
0.378,-0.091,11.114,0.000,0.396,-7.774,24.577,22.500,100960.000,30.683
0.350,-0.086,11.152,-0.152,0.427,7.774,24.577,22.600,100959.000,30.516
0.306,-0.182,11.219,-0.091,0.518,-7.805,24.577,22.500,100953.000,31.017
0.350,-0.110,11.200,-0.091,0.396,-0.274,23.824,22.500,100950.000,30.683
0.369,-0.077,11.119,-0.061,0.274,-0.061,24.577,22.600,100948.000,29.764
0.330,-0.072,11.176,-0.213,0.366,-0.152,24.577,22.500,100959.000,30.516
0.330,-0.086,11.071,-0.183,0.366,7.744,24.530,22.600,100962.000,30.432
0.383,-0.105,11.133,-0.091,0.610,-0.122,24.577,22.500,100965.000,30.432
