BeelineGPS
timestamp,callsign,audio level,lat,lon,alt,alt units,f_id,serialNum
2018-03-22 11:46:55.342458,97,AG7IU-1,00000000ef7632b6,45.5527,122.7777,1115,ft,1
2018-03-22 11:46:57.515499,99,AG7IU-1,00000000ef7632b6,45.5527,122.7777,1115,ft,1
2018-03-22 11:46:59.486342,136,AG7IU-1,00000000ef7632b6,45.5527,122.7777,1125,ft,1
2018-03-22 12:18:46.864983,ft,123.2857,198,1,00000000ef7632b6,AG7IU-2,44.5585,259
2018-03-22 12:18:49.857075,ft,123.2857,198,1,00000000ef7632b6,AG7IU-2,44.5585,259
2018-03-22 12:18:52.830250,ft,123.2857,198,1,00000000ef7632b6,AG7IU-2,44.5585,255
2018-03-22 12:18:55.814756,ft,123.2857,198,1,00000000ef7632b6,AG7IU-2,44.5585,255
2018-03-22 12:18:58.828244,ft,123.2857,198,1,00000000ef7632b6,AG7IU-2,44.5585,252
2018-03-22 12:19:01.848076,ft,123.2857,198,1,00000000ef7632b6,AG7IU-2,44.5585,252
2018-03-22 12:19:04.821256,ft,123.2857,197,1,00000000ef7632b6,AG7IU-2,44.5585,246
2018-03-22 12:19:07.821751,ft,123.2857,197,1,00000000ef7632b6,AG7IU-2,44.5585,242
2018-03-22 12:19:10.848576,ft,123.2857,198,1,00000000ef7632b6,AG7IU-2,44.5585,242
2018-03-22 12:19:13.827072,ft,123.2857,198,1,00000000ef7632b6,AG7IU-2,44.5585,232
2018-03-22 12:19:16.825077,ft,123.2857,198,1,00000000ef7632b6,AG7IU-2,44.5585,226
2018-03-22 12:19:19.829277,ft,123.2857,198,1,00000000ef7632b6,AG7IU-2,44.5585,226
2018-03-22 12:19:22.826258,ft,123.2857,197,1,00000000ef7632b6,AG7IU-2,44.5585,223
2018-03-22 12:19:25.824328,ft,123.2857,198,1,00000000ef7632b6,AG7IU-2,44.5585,226
2018-03-22 12:19:28.819381,ft,123.2857,198,1,00000000ef7632b6,AG7IU-2,44.5585,226
2018-03-22 12:19:31.852689,ft,123.2855,197,1,00000000ef7632b6,AG7IU-2,44.5585,229
2018-03-22 12:19:34.850388,ft,123.2855,198,1,00000000ef7632b6,AG7IU-2,44.5585,226
2018-03-22 12:19:37.827174,ft,123.2855,197,1,00000000ef7632b6,AG7IU-2,44.5585,229
2018-03-22 12:19:40.849184,ft,123.2855,198,1,00000000ef7632b6,AG7IU-2,44.5583,223
2018-03-22 12:19:43.826308,ft,123.2855,198,1,00000000ef7632b6,AG7IU-2,44.5585,223
2018-03-22 12:19:46.824483,ft,123.2855,197,1,00000000ef7632b6,AG7IU-2,44.5585,223
2018-03-22 12:19:49.826360,ft,123.2855,198,1,00000000ef7632b6,AG7IU-2,44.5585,226
2018-03-22 12:19:52.832357,ft,123.2857,198,1,00000000ef7632b6,AG7IU-2,44.5585,229
2018-03-22 12:19:55.827782,ft,123.2857,197,1,00000000ef7632b6,AG7IU-2,44.5585,229
2018-03-22 12:19:58.828848,ft,123.2857,198,1,00000000ef7632b6,AG7IU-2,44.5585,226
2018-03-22 12:20:01.857769,ft,123.2857,198,1,00000000ef7632b6,AG7IU-2,44.5585,226
