BeelineGPS
timestamp,callsign,audio level,lat,lon,alt,alt units,f_id,serialNum
2018-03-22 11:46:55.342458,97,AG7IU-1,00000000ef7632b6,45.5527,122.7777,1115,ft,1
2018-03-22 11:46:57.515499,99,AG7IU-1,00000000ef7632b6,45.5527,122.7777,1115,ft,1
2018-03-22 11:46:59.486342,136,AG7IU-1,00000000ef7632b6,45.5527,122.7777,1125,ft,1
2018-03-22 11:48:15.916175,4531,00000000ef7632b6,2,AG7IU-1,120.6513,ft,43.7957,198
2018-03-22 11:48:18.860407,4531,00000000ef7632b6,2,AG7IU-1,120.6513,ft,43.7957,197
2018-03-22 11:48:21.862296,4531,00000000ef7632b6,2,AG7IU-1,120.6513,ft,43.7957,197
2018-03-22 11:48:24.863648,4534,00000000ef7632b6,2,AG7IU-1,120.6513,ft,43.7957,198
2018-03-22 11:48:27.903145,4537,00000000ef7632b6,2,AG7IU-1,120.6513,ft,43.7957,197
2018-03-22 11:48:30.862798,4537,00000000ef7632b6,2,AG7IU-1,120.6513,ft,43.7957,197
2018-03-22 11:48:33.861606,4541,00000000ef7632b6,2,AG7IU-1,120.6513,ft,43.7957,198
2018-03-22 11:48:36.881198,4541,00000000ef7632b6,2,AG7IU-1,120.6513,ft,43.7957,197
2018-03-22 11:48:39.854402,4541,00000000ef7632b6,2,AG7IU-1,120.6513,ft,43.7957,197
2018-03-22 11:48:42.860894,4544,00000000ef7632b6,2,AG7IU-1,120.6513,ft,43.7957,197
2018-03-22 11:48:45.893897,4544,00000000ef7632b6,2,AG7IU-1,120.6513,ft,43.7957,198
2018-03-22 11:48:48.868727,4547,00000000ef7632b6,2,AG7IU-1,120.6513,ft,43.7957,196
2018-03-22 11:48:51.859975,4544,00000000ef7632b6,2,AG7IU-1,120.6513,ft,43.7957,197
2018-03-22 11:48:54.862843,4544,00000000ef7632b6,2,AG7IU-1,120.6513,ft,43.7957,198
2018-03-22 11:48:57.890457,4547,00000000ef7632b6,2,AG7IU-1,120.6513,ft,43.7957,197
2018-03-22 11:49:00.859894,4547,00000000ef7632b6,2,AG7IU-1,120.6513,ft,43.7957,197
2018-03-22 11:49:03.868819,4551,00000000ef7632b6,2,AG7IU-1,120.6513,ft,43.7957,197
2018-03-22 11:49:06.901799,4551,00000000ef7632b6,2,AG7IU-1,120.6513,ft,43.7957,197
2018-03-22 11:49:09.872389,4547,00000000ef7632b6,2,AG7IU-1,120.6513,ft,43.7957,197
2018-03-22 11:49:12.865953,4547,00000000ef7632b6,2,AG7IU-1,120.6513,ft,43.7957,197
2018-03-22 11:49:15.869556,4547,00000000ef7632b6,2,AG7IU-1,120.6513,ft,43.7957,196
2018-03-22 11:49:18.881485,4547,00000000ef7632b6,2,AG7IU-1,120.6513,ft,43.7957,197
2018-03-22 11:49:21.861607,4547,00000000ef7632b6,2,AG7IU-1,120.6513,ft,43.7957,198
2018-03-22 11:49:24.858949,4547,00000000ef7632b6,2,AG7IU-1,120.6513,ft,43.7957,196
2018-03-22 11:49:27.905556,4547,00000000ef7632b6,2,AG7IU-1,120.6513,ft,43.7957,196
